ph,Solids,Turbidity,Hardness,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Potability
7.58,398,3.7,194.529434,6.853833,311.249941,409.820099,14.514487,59.437799,1
7.48,145,2.1,188.070308,6.684339,337.017382,478.634958,14.517634,62.682782,1
9.24,314,4.6,206.873981,7.539694,334.403449,440.662461,14.656012,69.300804,0
8.23,448,4.6,198.836237,7.115674,306.348035,415.03949,15.377264,57.648841,0
7.81,390,2.7,209.465894,6.984081,324.005154,453.407723,15.640994,62.38441,0
9.11,590,5.4,211.917953,6.825552,311.937969,450.564846,14.503497,67.158162,0
7.7,23,2.8,180.434877,8.378331,364.563419,420.647096,14.640008,72.334652,1
7.84,61,2.7,182.993309,7.45344,328.800284,430.515124,13.339982,70.208419,1
7.48,388,2.1,192.519491,6.750102,330.346528,399.448515,12.717927,69.21975,1
7.34,71,2.9,188.563883,7.935043,361.920696,412.480121,15.47689,67.503886,1
7.51,149,1.9,191.887021,6.222716,326.891841,453.453912,14.047228,64.992873,1
7.6,432,2.6,189.676507,7.020884,326.012681,441.586316,14.675018,70.102417,1
7.74,260,3.1,198.188989,7.816422,324.172378,404.053634,13.136078,69.627027,1
7.18,93,2.5,204.807278,6.9967,354.745139,394.015593,14.105624,67.529293,1
7.76,280,3.0,192.181194,7.514734,344.053852,404.934031,13.745993,71.303994,1
8.2,93,3.7,204.202615,6.933681,322.389784,468.517147,14.791955,73.277545,0
7.82,388,2.6,215.096156,6.465917,325.648716,451.516744,13.935114,64.458774,0
7.38,388,2.2,201.867005,6.654164,324.44321,389.876141,12.302192,67.977597,1
7.81,387,2.5,213.315422,6.328996,326.679256,439.258348,13.301318,64.776855,0
8.53,358,4.9,205.094887,6.5712,345.345433,440.02987,15.832651,69.907492,0
9.18,318,4.6,212.080948,7.353331,342.407857,448.726104,15.146411,70.306891,0
9.12,589,5.2,187.248497,6.72355,326.101372,427.428242,14.379527,66.636189,0
7.51,205,2.7,195.545907,7.494933,343.208074,370.750944,13.390551,76.11931,1
8.37,64,2.9,193.49403,7.016718,329.159002,430.304453,14.116235,68.275853,0
7.9,130,2.9,200.578749,7.685602,347.305814,411.029236,14.461147,79.808164,1
8.98,322,4.2,171.45697,7.502244,300.258766,455.915887,14.456556,65.110159,0
7.21,341,3.2,196.900207,6.65221,320.439322,454.375682,13.290716,69.67407,1
7.17,34,2.2,209.323451,7.69273,330.881294,410.538835,15.502392,70.859786,1
7.62,392,2.3,193.346514,7.465954,339.867647,398.24821,13.705907,67.767711,1
8.39,469,4.4,191.837977,7.509536,327.361224,448.618902,14.173968,64.908877,0
7.42,392,2.0,199.066902,7.226954,324.845507,379.060273,11.997841,66.990015,1
8.42,216,3.9,194.048448,7.340764,335.049896,448.037716,13.803904,63.852673,0
9.6,395,5.8,208.045519,6.071173,347.842041,468.72541,14.952046,59.62513,0
7.4,391,2.4,204.736481,7.263936,332.868144,387.196359,13.293391,66.838091,1
7.5,150,1.8,193.046882,6.131189,325.98201,447.483516,13.890458,65.488232,1
8.94,591,5.3,183.04564,6.761861,333.560744,416.588708,13.652195,65.479971,0
7.78,394,2.2,192.990415,7.376178,337.597944,392.672073,12.840852,69.837712,1
7.14,91,2.2,191.503213,6.833496,347.715026,429.311095,14.879525,65.142102,1
7.67,236,3.3,207.624684,7.939511,323.933794,413.067596,12.347959,65.385275,0
7.8,105,3.1,190.373728,7.513883,343.224473,398.477423,12.165945,74.452525,1
8.59,56,4.2,191.963509,7.428407,349.538001,449.529236,14.950088,75.740904,0
7.47,102,2.1,189.238466,6.591226,336.6371,473.651149,14.409253,64.235982,1
7.52,148,1.9,191.694029,6.233377,326.825221,453.95143,14.075088,64.917888,1
7.42,387,2.0,193.926194,6.550321,324.993545,395.45685,12.300716,67.711974,1
8.34,66,2.4,201.988951,7.340627,316.423256,492.615455,13.63887,68.75913,0
8.18,61,2.4,194.898226,7.359109,317.431577,476.008376,12.753391,66.984185,1
8.34,66,2.4,201.988951,7.340627,316.423256,492.615455,13.63887,68.75913,0
7.5,147,1.9,191.819374,6.226912,326.913038,453.504537,14.066046,64.957752,1
9.11,593,5.2,184.387656,6.762381,327.640122,404.981547,13.003661,67.560693,0
7.74,390,2.0,192.433229,6.978609,328.201816,378.406233,12.036441,65.441082,1
7.58,319,2.7,206.438296,6.827831,317.059106,399.434842,13.155433,65.338483,1
8.14,379,2.3,207.771655,6.040661,323.460281,428.872489,13.123773,69.771901,0
7.36,207,3.4,196.342292,6.825753,343.348506,376.427243,13.507059,64.411008,0
7.75,385,2.7,216.206234,6.576575,317.880817,454.16021,13.519446,60.518153,0
7.72,392,2.3,193.739271,7.314086,344.194877,395.045757,13.152506,70.308729,1
8.35,67,2.6,195.791419,7.223392,317.231448,491.872378,14.452353,65.497698,0
7.82,35,2.8,187.671594,7.798001,330.565933,422.355603,13.492623,67.955632,1
8.33,63,2.5,196.914344,7.345626,319.511942,481.847172,13.460785,67.945834,0
7.15,90,2.4,200.029416,6.686162,361.605033,394.585652,14.903393,63.935504,1
7.76,390,2.6,204.387298,7.117963,331.355103,441.457619,15.174123,65.44686,0
7.11,23,2.0,214.353092,8.187052,324.359147,399.839374,15.955945,67.043679,1
7.65,342,3.6,207.341802,7.977523,345.05703,438.317857,16.192594,60.139326,1
7.74,290,3.2,202.947219,7.675135,328.561768,419.759118,13.006753,69.108279,1
8.34,64,2.5,200.766506,7.268368,315.322185,483.596469,13.705954,66.235352,0
7.67,395,2.4,196.029463,7.510913,336.982585,402.091958,13.97902,67.318588,0
7.42,78,3.0,195.392631,7.543918,353.317185,390.931651,14.470162,69.041054,1
7.67,240,3.4,208.697341,7.708008,339.027139,434.797064,12.218191,61.125301,0
7.44,393,2.3,202.304082,7.511308,340.195702,385.308172,13.110107,63.565623,1
7.7,317,3.5,198.228911,7.640476,339.910722,429.704502,13.158368,61.228937,1
7.41,370,2.8,206.048729,7.401285,320.632297,448.066945,13.428931,61.1738,1
7.58,424,4.5,199.264513,7.021352,307.243774,449.172698,17.362877,63.089301,0
7.72,388,2.7,212.298926,6.917986,322.280331,468.334192,14.83822,62.234929,0
7.35,23,2.6,179.195521,8.385474,348.142536,446.9978,14.045122,65.780263,1
7.43,95,2.9,202.730128,8.241543,351.121663,366.59059,14.155084,68.561884,1
7.4,390,2.1,198.627838,7.021977,334.533504,385.844329,12.40919,69.721211,1
8.38,68,2.7,204.18778,7.358791,338.188191,465.859006,15.398397,70.199574,0
7.41,390,2.4,203.570884,7.196147,335.285618,381.314799,12.813903,65.942817,1
8.32,68,2.7,204.100401,7.363804,338.419025,464.033926,15.383076,70.330465,0
9.12,595,5.2,184.01819,6.715989,328.652504,404.32523,13.004374,67.689062,0
7.36,344,2.6,204.263383,6.806296,324.07218,409.14893,13.290776,65.909668,1
7.82,390,2.6,204.910657,7.089206,329.708927,443.748365,15.303401,65.812112,0
7.39,333,2.9,205.540395,7.011602,312.99192,452.552611,14.129034,63.159906,1
7.15,33,2.4,200.685544,8.138966,322.488857,407.600527,15.504709,66.982298,1
7.17,38,2.6,190.631734,7.028511,347.409244,436.626861,14.474287,68.7669,1
7.42,36,1.5,208.901417,7.323349,325.603556,417.987175,16.327191,73.53503,1
7.68,355,3.0,217.359943,7.120215,313.131927,476.932403,13.266181,64.82823,1
9.22,310,4.4,182.582202,7.467777,314.389024,420.862307,14.248698,71.99786,0
7.65,400,4.4,194.493834,6.6279,318.738386,441.154567,16.45306,64.444062,0
7.97,39,2.2,204.589781,7.830092,323.233554,480.506226,14.315761,70.312584,1
8.38,62,2.5,195.89503,7.296201,320.074982,484.108337,13.372618,67.571731,0
7.75,390,2.2,193.449651,6.790335,338.0275,405.645948,12.336951,70.048662,1
8.92,378,4.2,184.951557,7.254349,316.929278,482.840255,14.48883,56.894138,0
9.12,589,5.0,176.146693,6.797927,327.380907,432.123998,13.85829,64.730424,0
7.6,406,2.6,189.030023,7.28223,326.688242,406.750816,14.381264,67.99086,1
8.73,224,3.1,198.193239,6.884757,350.246961,418.169215,16.098986,73.482157,0
9.14,587,5.2,187.106504,6.705194,326.867085,428.886764,14.496406,66.558549,0
7.74,391,2.8,218.278266,7.438467,326.577756,448.788379,15.391312,64.566231,0
7.77,391,2.6,203.526574,7.14931,331.214488,440.000915,15.267711,65.328984,0
7.76,385,2.7,216.344818,6.569999,317.601557,454.459879,13.541174,60.467243,0
9.24,311,4.6,206.252882,7.669911,332.560394,434.420759,14.658203,67.301183,0
9.23,314,4.6,206.71799,7.511529,334.3191,440.21026,14.708688,69.509258,0
7.08,94,2.1,189.546983,6.571892,343.766902,427.216721,14.117024,67.843648,1
8.3,26,2.4,189.954086,7.879451,334.719295,481.899855,14.498401,68.561737,1
8.28,42,2.0,199.65484,6.926526,318.724555,484.306476,14.702975,71.493931,1
8.35,67,2.8,203.373969,7.190085,335.265992,447.633351,14.830732,66.366168,0
7.73,387,2.7,216.208469,6.670558,318.917278,457.76521,13.952287,60.954148,0
7.09,93,2.4,199.532487,6.685325,365.991594,404.378669,14.798304,66.694971,1
7.83,333,3.4,191.836284,7.651035,328.730561,393.711454,12.592226,65.271602,0
9.37,348,5.4,193.94336,7.643403,337.773057,378.516527,14.881831,70.827936,0
7.7,328,3.5,198.533374,7.95617,341.631177,418.906242,14.066049,60.445166,1
7.42,392,2.1,199.958452,7.094737,328.511646,374.376401,12.128426,67.560209,1
7.72,322,3.6,206.313328,7.84006,345.596677,428.141108,16.456481,53.892677,1
7.62,352,3.3,198.443368,7.436597,311.812359,426.439396,13.640617,71.062431,1
9.2,317,4.5,197.299777,7.580818,326.010497,437.631846,14.452481,70.32296,0
7.42,99,1.2,207.66575,6.369734,326.592831,436.900115,14.952739,67.320816,1
7.45,388,2.1,189.95032,6.684542,331.800419,394.026251,13.014048,68.636263,1
7.81,59,2.7,182.961963,7.469378,328.564214,430.975507,13.334451,70.044608,1
7.47,142,2.2,191.786895,6.856019,339.738949,479.393768,14.663646,64.516282,1
8.48,318,3.6,188.463293,7.199859,340.094285,403.294867,13.473616,60.83081,0
7.12,228,2.6,190.254547,6.997595,320.241101,385.699739,15.250779,72.253856,0
7.78,389,2.5,204.892524,6.793023,334.523742,437.299498,14.059572,64.430725,0
8.1,379,2.7,209.544139,6.03315,314.925566,453.27311,13.084966,65.020683,0
7.88,380,1.8,202.649189,6.367163,333.88163,421.057378,11.965559,64.992968,0
7.44,451,3.6,191.220338,7.082929,333.95692,389.785523,14.611878,71.115273,1
7.94,319,3.1,203.900137,7.356376,322.130089,446.796154,13.587055,67.565883,0
7.69,387,2.7,215.693161,6.701205,320.182666,456.860805,13.908805,61.167074,0
8.56,251,4.5,205.287967,7.513365,332.349124,411.16873,15.097278,66.114739,0
7.82,90,2.7,206.100497,7.816192,352.84517,429.960027,15.682638,84.050267,1
7.64,385,2.2,197.010388,6.228398,322.126707,400.530066,12.089145,69.675284,1
9.22,313,4.6,211.036941,7.568558,331.878347,438.656765,14.69914,67.9239,0
9.05,640,5.5,203.49481,6.133781,299.53306,422.539246,13.13069,72.007008,0
7.3,241,2.0,194.572671,6.069524,332.569423,442.430964,12.923486,69.34081,1
7.35,419,2.8,197.681111,7.124279,317.337148,424.247092,14.1277,67.413729,1
7.51,149,1.8,192.951378,6.137234,325.96149,447.758593,13.905219,65.441095,1
7.84,102,2.8,205.141429,7.713508,342.087994,426.004114,15.87139,85.574408,1
8.24,52,2.3,199.496303,7.656636,315.414448,486.454078,13.679307,70.988879,1
7.66,310,3.4,207.96548,7.668693,344.228993,434.705253,11.848226,62.715691,1
8.48,644,4.5,185.655994,6.182665,274.007655,420.062265,13.165121,73.225902,0
7.71,255,3.0,191.97353,7.503126,343.38116,402.641574,13.716815,70.87791,1
8.4,70,2.8,206.360985,7.242982,332.226466,456.400554,15.439066,67.666622,0
9.21,318,4.4,183.058723,7.491284,307.635051,435.588343,14.40073,70.70906,0
7.37,209,2.8,199.396773,8.00281,330.436359,366.164022,13.609201,72.384658,0
7.56,408,3.9,194.879097,7.120949,303.332093,448.55159,13.040563,60.31083,1
7.68,313,3.5,200.398721,7.805977,345.80399,436.464353,12.950373,60.819463,1
8.38,69,2.7,203.89934,7.301256,335.24398,474.857312,15.705419,73.462351,0
9.21,312,4.8,197.244053,7.390375,340.710498,423.808315,14.909882,60.275076,0
7.11,94,2.5,201.570843,6.880619,355.894819,388.464672,14.273485,69.350324,1
7.85,325,3.1,204.746886,7.041513,321.292674,469.760789,12.718814,70.357813,1
7.57,386,2.1,196.963836,6.404066,321.601202,392.116225,12.133613,69.288676,1
8.36,65,2.6,195.480417,7.188134,316.162127,490.497583,14.28847,65.256108,0
7.71,395,2.5,193.292196,7.291056,336.557406,424.920286,14.768244,67.020538,0
7.65,338,3.2,205.184122,7.360762,315.530639,450.525365,13.013306,69.991203,1
9.15,596,5.0,182.208446,6.69339,323.226131,397.864497,13.360849,70.355317,0
7.21,39,2.2,202.942449,7.148908,337.230442,426.844039,15.856519,68.965418,1
7.64,319,2.7,207.451235,6.801566,315.541119,399.658134,13.11284,65.145086,0
7.7,334,3.3,197.678879,7.381443,312.264517,427.744571,12.765555,72.701871,0
7.18,38,2.4,199.127365,7.346607,338.090046,428.654295,15.188406,72.639474,1
7.7,387,2.7,215.823875,6.693601,319.861079,457.072794,13.919021,61.114508,0
7.82,391,2.6,203.014708,6.983951,330.508679,445.389473,14.920635,65.615096,0
7.1,96,2.3,192.9732,6.705642,361.527483,429.799373,15.10911,63.745044,1
9.1,580,5.4,206.025957,6.57212,322.136193,461.171615,15.03803,66.211939,0
9.77,364,5.2,184.101834,7.595996,333.272114,417.730614,15.370589,67.670485,0
8.12,38,1.1,214.815918,6.478002,322.536212,446.689028,15.874744,71.072599,1
7.82,392,2.7,205.803505,7.356634,327.587917,434.093721,15.692271,64.2223,0
7.11,92,2.1,192.663048,6.707834,346.449739,424.991353,14.421306,67.898894,1
7.68,356,4.0,205.668733,7.120703,349.323058,421.560155,15.167508,64.934206,1
7.44,388,2.1,189.919009,6.683993,331.725196,394.114008,13.019057,68.666123,1
7.54,416,3.8,188.286278,6.697341,305.067678,440.830512,14.358619,59.507991,1
7.94,96,2.7,199.028098,7.508489,346.926871,450.264504,16.121045,83.572391,1
7.62,388,3.1,213.66499,7.052327,324.482029,404.008386,13.091632,72.723915,1
9.17,319,4.4,180.949956,7.339761,309.131982,445.690503,14.792955,71.976747,0
8.35,67,2.9,201.948554,7.126807,334.007804,439.448273,14.472038,66.028713,0
9.2,313,4.5,203.686867,7.512763,328.277161,440.383508,14.838814,72.262522,0
7.43,442,3.8,188.951421,6.751953,338.682593,458.480096,16.29819,63.69255,1
7.72,392,2.5,196.093115,7.371932,336.77616,418.215604,14.890738,67.816308,1
7.49,146,2.0,191.227523,6.420882,332.72565,464.320637,14.224686,63.731567,1
7.54,141,2.2,188.064748,6.841972,337.399431,480.479897,15.027137,64.05884,1
7.79,385,2.6,217.402542,6.332082,319.862579,450.509413,13.715265,62.930168,0
9.23,316,4.5,197.511474,7.597931,325.895544,438.571341,14.393104,69.995849,0
7.34,285,2.6,194.48595,6.779553,318.658355,381.470284,14.486092,75.139628,1
7.84,392,2.7,205.840327,7.344595,327.578105,434.459123,15.700596,64.384904,0
8.02,263,2.7,183.475395,6.848608,340.241562,406.12352,14.047263,74.5283,1
8.41,71,2.8,206.533872,7.255233,332.203213,457.472003,15.483849,67.645267,0
7.85,395,2.8,196.215337,6.803879,327.906447,422.51789,15.719243,68.540906,0
7.89,38,1.4,205.745658,6.723462,316.852322,457.618005,15.564076,70.410213,1
8.53,181,3.2,200.52128,6.938849,362.309065,393.033688,14.949672,74.319042,0
7.16,35,2.4,201.723564,7.251161,325.430619,426.079827,15.209185,72.303582,1
7.73,393,2.5,193.82476,7.124927,341.070342,431.481432,14.92537,67.15044,1
7.76,232,2.7,194.282889,6.960903,361.10896,370.802731,12.89962,76.302462,1
9.13,586,5.2,191.90786,6.951967,327.669314,456.485546,14.862849,65.414422,0
7.85,395,2.5,188.961553,7.206851,345.089431,428.819674,14.99866,65.966392,0
7.7,395,2.1,193.026309,7.372501,337.075719,389.99409,12.483418,67.160118,1
7.73,386,2.6,216.894177,6.371135,322.920852,450.980169,13.739281,63.622825,0
7.5,148,1.8,192.989681,6.135713,326.005705,447.602018,13.902752,65.454795,1
7.7,346,4.1,200.892927,7.072961,349.139399,416.999752,15.146247,68.258791,0
7.52,441,4.3,185.583342,6.841243,310.053677,451.103089,15.650885,62.917104,0
7.64,334,3.0,214.455293,7.295864,313.16785,474.193749,13.682688,66.331043,1
7.77,392,2.3,193.680539,7.437237,343.824974,394.417794,13.183374,69.964842,1
7.22,104,2.8,195.696909,8.310592,351.728866,395.012517,14.951188,63.405049,1
7.47,120,2.0,191.659028,6.463975,337.122544,465.376141,14.093694,64.979497,1
7.75,389,2.2,194.568164,6.604596,333.326487,412.92714,12.66997,69.208706,1
7.49,388,2.3,201.052999,6.822565,334.961834,383.813509,12.393423,68.752536,1
7.63,340,3.1,209.018459,6.960211,316.822755,460.661615,13.133045,67.804872,1
7.99,96,2.8,201.495592,7.652779,338.937568,461.623714,16.114667,82.902022,1
9.63,192,4.1,173.744858,7.090862,334.248436,426.603738,13.785365,64.540913,0
7.64,35,2.6,184.720209,7.774123,316.812371,450.483666,13.449731,65.403231,1
7.43,387,2.0,193.956976,6.551219,325.03529,395.38293,12.297669,67.68934,1
8.12,78,3.2,186.31616,7.07442,339.375364,463.000516,12.748231,70.91245,0
7.68,365,3.2,205.175914,6.851888,314.393427,447.825418,12.798012,69.625162,1
8.58,320,3.7,201.309158,6.216374,352.731716,448.546029,12.523099,60.553838,0
7.88,115,2.9,201.125555,7.703296,346.968572,411.387611,14.476626,80.809163,1
9.18,315,4.8,197.140027,7.370653,341.165334,423.516754,14.906801,60.66286,0
9.12,591,5.3,193.664346,6.542013,321.76874,427.454666,13.783723,65.821013,0
7.9,367,3.1,212.017669,7.280095,311.844881,465.503544,12.377287,65.888267,0
9.13,590,5.2,186.521922,6.731621,325.954953,425.535346,14.216915,66.600823,0
7.13,90,2.3,197.357472,7.021446,359.781336,424.139499,15.263534,62.723587,1
7.17,395,2.3,208.550128,7.576017,326.838494,390.899257,12.776325,62.476455,1
7.39,46,1.8,204.96042,7.119671,325.567907,423.761469,15.170421,72.348785,1
7.18,68,1.6,198.499948,6.800976,334.569076,426.05134,15.589366,69.452898,1
7.85,228,2.5,195.823117,6.880849,336.030931,413.793342,14.11009,68.657382,0
6.9,74,1.9,195.541893,6.76215,335.935874,419.444439,15.341194,70.127894,1
7.52,144,2.3,192.468501,7.110956,341.337895,451.251749,14.524368,66.427975,1
7.88,48,2.7,183.859034,7.46823,325.921751,429.942315,13.338512,69.46591,1
7.88,131,2.9,200.156661,7.695855,347.785637,409.088037,14.424198,79.89989,1
7.79,394,2.8,201.039377,6.947535,331.016312,420.541228,15.156726,63.295337,0
7.15,34,2.3,203.998698,7.708859,332.806983,413.47854,15.332407,70.175089,1
7.8,390,2.6,204.711478,7.099369,330.295982,442.942364,15.257907,65.701082,0
7.59,451,3.3,191.352478,6.604906,324.043849,383.276494,13.49972,67.150344,1
7.66,345,3.6,207.070714,7.980704,344.996938,437.22113,16.189217,60.413388,1
8.03,79,2.5,199.250507,6.746295,325.268895,482.836028,13.655188,74.505111,1
9.32,375,4.8,214.449108,7.223489,345.345316,437.483202,14.21488,69.411147,0
8.37,64,2.5,197.987135,7.224978,318.226973,495.105335,13.617054,69.144514,0
8.05,78,2.5,203.154436,7.138939,317.047974,481.986127,14.06164,71.518412,1
7.44,388,2.2,199.961831,6.780079,331.411173,382.99194,12.485862,69.249805,1
8.1,58,2.8,190.519947,7.256631,337.671496,407.604449,13.386028,70.323272,1
7.41,392,2.2,200.176921,7.21858,335.123805,379.963549,12.552013,69.353391,1
7.19,34,2.4,200.395627,8.062799,320.158596,411.089652,15.496518,66.965995,1
9.11,591,5.2,178.511112,6.736868,335.480769,415.392719,13.495323,64.966062,0
7.46,462,4.8,196.028495,7.033948,333.40342,417.89385,15.263578,60.895084,0
9.21,313,4.6,210.896987,7.542261,331.796859,438.239719,14.749552,68.107184,0
7.16,325,2.6,195.954284,7.076016,322.109135,403.823559,13.160947,63.053769,1
7.77,391,2.4,197.899962,7.294631,336.36791,410.586556,13.738689,67.878195,1
7.17,35,2.2,212.619133,7.309994,321.88416,410.926985,15.620208,70.394178,1
7.52,438,4.3,185.773613,6.870904,310.911504,453.540786,15.661162,62.333189,0
7.75,390,2.1,192.573477,6.946216,328.515355,391.537136,12.387734,68.730853,1
7.61,289,2.6,198.437976,6.697031,331.137351,377.540557,13.315468,73.351199,1
7.83,396,3.0,205.476564,7.078054,338.64577,380.730241,13.030406,67.012265,0
7.83,388,2.6,215.198633,6.46269,325.164936,451.998225,13.964267,64.446415,0
7.1,93,2.2,191.041036,6.545722,348.334563,431.229184,14.47584,68.818326,1
7.74,388,2.8,222.068991,7.008024,313.44346,455.630743,14.531566,61.68681,0
7.51,447,4.4,189.571145,6.791757,305.20911,439.643279,16.135227,65.461307,0
7.43,388,2.2,199.99762,6.781285,331.304996,382.923097,12.48791,69.280491,1
8.19,40,1.5,204.388676,6.660931,316.404131,461.722118,15.657429,70.527614,1
7.4,393,2.3,203.036229,7.523672,339.30224,385.533423,13.097318,63.602867,1
7.56,390,2.3,192.896254,7.101107,338.539584,392.257807,12.409441,70.573183,1
7.76,96,4.2,208.087004,6.790564,333.435434,465.970832,12.985548,69.784792,0
9.19,320,4.3,179.0473,7.271946,295.939234,436.871777,14.682904,70.563456,0
7.51,142,2.1,187.319039,6.727147,338.308072,482.449879,14.485527,63.868793,1
7.45,385,2.3,195.420264,6.283208,321.845897,411.859175,12.285526,70.500001,1
9.15,595,5.1,182.91117,6.613633,322.765729,406.037953,13.479318,70.359985,0
7.52,221,2.6,196.129173,6.780101,327.997984,377.000761,14.537076,76.043922,1
7.53,147,2.0,190.793996,6.447062,332.538568,465.916066,14.269078,63.586434,1
8.54,436,5.4,209.216655,6.853614,329.729357,441.768197,15.620936,67.697247,0
7.67,249,2.1,191.448352,6.467574,325.468054,462.579945,13.972568,65.403027,1
7.5,448,4.5,193.852612,6.97855,297.221493,446.948962,17.142356,67.409698,0
7.46,386,2.1,196.036989,6.356508,320.267255,392.594872,12.105932,69.878445,1
7.13,91,2.5,205.984702,6.800342,365.009853,393.291372,14.511806,67.064522,1
7.52,142,2.3,194.722221,7.040325,337.931607,454.072547,14.763385,64.991367,1
7.55,412,3.8,190.123516,6.622966,303.614176,438.119272,14.30143,60.989899,1
7.1,94,2.0,192.952615,6.642951,344.252578,426.0339,13.887811,69.149366,1
7.7,319,2.8,205.991762,6.768944,317.702854,420.699585,13.244732,65.402147,0
7.11,94,2.0,192.88985,6.6477,344.302402,426.663316,13.912048,69.078759,1
9.23,316,4.6,209.369598,7.62889,333.402468,447.397022,14.668512,69.923629,0
7.58,375,3.0,216.255386,6.821406,308.602532,464.632906,13.390851,62.365216,1
7.71,323,3.6,206.441697,7.850519,346.152507,428.363167,16.431398,54.175516,1
7.72,392,2.4,195.045543,7.374016,338.472992,413.812654,14.603252,68.681874,1
